crash_id,state,remoteness,sa4_name,lga_name,road_type
20241162,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road
20241073,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway
20243097,QLD,Inner Regional Australia,Wide Bay,South Burnett,National or State Highway
20242182,VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),National or State Highway
20243123,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Local Road
20242044,VIC,Outer Regional Australia,North West,West Wimmera,Sub-arterial Road
20241120,NSW,Outer Regional Australia,Murray,Greater Hume,National or State Highway
20242266,VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Collector Road
20241048,NSW,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road
20243023,QLD,Major Cities of Australia,Ipswich,Brisbane,Sub-arterial Road
20243137,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway
20241200,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Ku-ring-gai,National or State Highway
20242151,VIC,Major Cities of Australia,Melbourne - South East,Casey,Local Road
20242223,VIC,Inner Regional Australia,Ballarat,Pyrenees,National or State Highway
20241259,NSW,Remote Australia,Far West and Orana,Unincorporated NSW,National or State Highway
20241264,NSW,Major Cities of Australia,Illawarra,Wollongong,Collector Road
20243086,QLD,Major Cities of Australia,Ipswich,Brisbane,Sub-arterial Road
20242215,VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Local Road
20246012,TAS,Outer Regional Australia,Launceston and North East,Break O'Day,National or State Highway
20244068,SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Arterial Road
20241296,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road
20241006,NSW,Major Cities of Australia,Sydney - Inner South West,Strathfield,National or State Highway
20241258,NSW,Major Cities of Australia,Sydney - Inner South West,Bayside (NSW),Collector Road
20241290,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,National or State Highway
20241056,NSW,Inner Regional Australia,Newcastle and Lake Macquarie,Lake Macquarie,National or State Highway
20242014,VIC,Major Cities of Australia,Melbourne - South East,Cardinia,Sub-arterial Road
20241251,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road
20243076,QLD,Outer Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road
20243162,QLD,Outer Regional Australia,Wide Bay,South Burnett,Sub-arterial Road
20242027,VIC,Major Cities of Australia,Melbourne - West,Brimbank,National or State Highway
20243029,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Local Road
20242179,VIC,Major Cities of Australia,Mornington Peninsula,Frankston,Arterial Road
20244080,SA,Inner Regional Australia,South Australia - South East,Mid Murray,Sub-arterial Road
20242241,VIC,Inner Regional Australia,Hume,Murrindindi,National or State Highway
20244047,SA,Inner Regional Australia,South Australia - South East,Murray Bridge,Local Road
20241041,NSW,Major Cities of Australia,Richmond - Tweed,Tweed,National or State Highway
20241165,NSW,Outer Regional Australia,Murray,Murray River,National or State Highway
20242077,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Collector Road
20242078,VIC,Major Cities of Australia,Melbourne - South East,Monash,Arterial Road
20242017,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Sub-arterial Road
20243223,QLD,Outer Regional Australia,Cairns,Cairns,Local Road
20241271,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road
20242217,VIC,Major Cities of Australia,Melbourne - South East,Casey,Collector Road
20242245,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,National or State Highway
20241170,NSW,Major Cities of Australia,Sydney - Outer South West,Camden,Arterial Road
20242199,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Arterial Road
20241177,NSW,Outer Regional Australia,Central West,Mid-Western,National or State Highway
20246015,TAS,Inner Regional Australia,Hobart,Glenorchy,Arterial Road
20242165,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Sub-arterial Road
20241011,NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Collector Road
20243260,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Sub-arterial Road
20241083,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Hornsby,National or State Highway
20246006,TAS,Outer Regional Australia,Launceston and North East,Meander Valley,National or State Highway
20244058,SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,Local Road
20243218,QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,Collector Road
20241089,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Local Road
20243146,QLD,Outer Regional Australia,Wide Bay,Bundaberg,National or State Highway
20241295,NSW,Major Cities of Australia,Sydney - Inner West,Strathfield,Arterial Road
20243264,QLD,Inner Regional Australia,Central Queensland,Rockhampton,National or State Highway
20241136,NSW,Outer Regional Australia,Central West,Forbes,National or State Highway
20241281,NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,National or State Highway
20241076,NSW,Major Cities of Australia,Sydney - Ryde,Hunters Hill,Local Road
20244073,SA,Outer Regional Australia,South Australia - South East,Berri Barmera,Arterial Road
20242094,VIC,Inner Regional Australia,Hume,Wangaratta,Arterial Road
20241058,NSW,Outer Regional Australia,Central West,Parkes,Arterial Road
20241019,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Sub-arterial Road
20241275,NSW,Outer Regional Australia,New England and North West,Gunnedah,Sub-arterial Road
20243222,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road
20241065,NSW,Outer Regional Australia,Far West and Orana,Dubbo,National or State Highway
20243094,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Collector Road
20243145,QLD,Outer Regional Australia,Wide Bay,Gympie,National or State Highway
20241305,NSW,Inner Regional Australia,Richmond - Tweed,Byron,Arterial Road
20242146,VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Sub-arterial Road
20241231,NSW,Outer Regional Australia,New England and North West,Tamworth,Sub-arterial Road
20241145,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road
20241228,NSW,Outer Regional Australia,Far West and Orana,Cabonne,Sub-arterial Road
20243030,QLD,Outer Regional Australia,Cairns,Tablelands,Sub-arterial Road
20243034,QLD,Outer Regional Australia,Wide Bay,Bundaberg,National or State Highway
20242058,VIC,Major Cities of Australia,Melbourne - Inner South,Kingston (Vic.),National or State Highway
20241085,NSW,Inner Regional Australia,Richmond - Tweed,Lismore,Local Road
