crash_id,bus,heavy_truck,articulated_truck
20242052,No,Yes,No
20243247,No,No,No
20243144,No,No,Yes
20241235,No,No,Yes
20243087,No,No,No
20244061,No,No,No
20241009,No,No,No
20241072,No,No,No
20243129,No,No,Yes
20242219,No,Yes,No
20241219,No,No,No
20244010,No,No,No
20244040,No,No,No
20243171,No,No,No
20242075,No,No,No
20243079,No,No,No
20241045,No,No,No
20243017,No,No,Yes
20241160,No,Yes,No
20241081,No,No,Yes
20241135,No,No,No
20241209,No,No,Yes
20242140,No,Yes,No
20242142,No,No,No
20243107,No,No,No
20243020,No,No,No
20241151,No,No,No
20243158,No,No,Yes
20241286,No,No,No
20243102,No,No,No
20241303,No,No,No
20246029,No,No,No
20248005,No,No,No
20244018,No,No,No
20241060,No,No,No
20242022,No,Yes,No
20241037,No,No,No
20241257,No,No,No
20241128,No,No,No
20243089,No,No,No
20242181,No,No,No
20243082,No,No,Yes
20243150,No,No,No
20243170,No,No,No
20243239,No,No,No
20242040,No,No,Yes
20243084,No,No,No
20241030,No,No,No
20243127,No,Yes,No
20243003,No,No,No
20243266,No,No,No
20241042,No,No,No
20243121,No,No,No
20241175,No,No,No
20243072,No,No,No
20244057,No,No,No
20241091,No,No,No
20243201,No,No,No
20242135,No,No,No
20243225,No,No,No
20241167,No,No,No
20244060,No,No,No
20241268,No,No,No
20244013,No,No,No
20243235,No,No,No
20244059,No,No,No
20241266,No,No,No
20243131,No,No,No
20242080,No,No,No
20241287,No,No,No
20241152,No,No,No
20243161,No,No,No
20242042,No,No,No
20243210,No,No,No
20244025,No,No,No
20243088,No,No,No
20241211,Yes,No,No
20242007,No,No,No
20241204,No,No,No
20244062,No,No,No
20241137,No,No,No
20243117,No,No,No
20242081,No,No,No
20243206,No,No,No
20248003,No,No,No
20244032,No,No,No
20241153,No,No,No
20242138,No,No,No
20243198,No,No,No
20242107,No,No,No
20243080,No,No,No
20242204,No,No,No
20242139,No,No,No
20241103,No,No,No
20242129,No,No,No
20244027,No,No,No
20243006,No,No,No
20243108,No,No,No
20243212,No,No,No
20241237,No,No,No
20241052,No,No,No
20241308,No,No,No
20246027,No,No,No
20244072,No,No,No
20241195,No,No,No
20244043,No,No,No
20241102,No,No,No
20243194,No,No,No
20243070,No,Yes,No
20243165,No,No,No
20241063,No,No,No
20241132,Yes,No,No
20241292,No,No,No
20241189,No,No,No
20241233,No,No,No
20242115,No,No,No
20242167,No,No,No
20241016,No,No,No
20243234,No,No,No
20246025,No,No,No
20241220,No,No,No
20241034,No,No,No
20242012,No,No,No
20243009,No,No,No
20241269,No,No,No
20242093,No,No,No
20242176,No,No,No
20242255,No,No,No
20241066,No,No,No
20242175,No,No,No
20243207,No,No,No
20242029,No,No,No
20241246,No,No,No
20241078,No,No,No
20243064,No,No,No
20241013,No,No,No
20246019,No,No,No
20242257,No,No,No
20241138,No,No,No
20244014,No,No,No
20244069,No,No,No
20242053,No,No,No
20243111,No,No,No
20243067,No,No,No
20242186,No,Yes,No
20242250,No,No,No
20243167,No,No,No
20243106,No,No,No
20242098,No,No,No
20241179,No,No,No
20242070,No,No,No
20243261,No,No,Yes
20243227,No,No,No
20242243,No,No,No
20242102,No,No,No
20241109,No,No,No
20243187,No,No,No
20241301,No,No,No
20243135,No,Yes,No
20241248,No,No,No
20243268,No,No,No
20242071,No,No,No
20241020,No,No,No
20241294,No,No,No
20241304,No,No,No
20242123,No,No,No
20242144,No,No,No
20241199,No,No,No
20243066,No,No,No
20243233,No,No,Yes
20243203,No,No,No
20242209,No,No,No
20242056,No,No,No
20242130,No,No,No
20243109,No,No,No
20243010,No,No,No
20243181,No,No,No
20246018,No,Yes,Yes
20241071,No,No,No
20241186,No,No,No
20243078,No,No,No
20241223,No,No,No
20241221,No,No,No
20241143,No,No,No
20243242,No,No,No
20242189,No,No,No
20242170,No,Yes,No
20243043,No,Yes,No
20241140,No,No,No
20244063,No,No,No
20241131,No,No,No
20242172,No,No,No
20241111,No,No,No
20242055,No,No,No
20241017,No,No,No
20244067,No,No,No
20246024,No,No,No
20241254,No,No,No
20243011,No,No,No
20246011,No,No,No
20242177,No,No,No
20241127,No,No,No
20241210,No,No,No
20242132,No,No,No
20242184,No,No,No
20241253,No,No,No
20243024,No,No,No
20242224,No,No,No
20243031,No,No,No
20242069,No,No,No
20243156,No,No,No
20242251,No,No,No
20244034,No,No,No
20242090,No,No,No
20243231,No,No,No
20242194,No,No,No
20243142,No,No,No
20242043,No,Yes,No
20243124,No,Yes,No
20244007,No,No,No
20242060,No,No,No
20243104,No,No,No
20244041,No,No,No
20246026,No,No,No
20243021,No,No,Yes
20242155,No,No,No
20242032,No,Yes,No
20241285,No,No,No
20244066,No,No,No
20242064,No,No,No
20242164,No,No,No
20244035,No,No,No
20243018,No,No,No
20242086,No,No,No
20243217,No,Yes,No
20243251,No,No,Yes
20243058,No,No,No
20244046,No,No,No
20243085,No,No,No
20244039,No,No,No
20243240,No,No,No
20246002,No,No,No
20242099,No,No,No
20243063,No,No,No
20241176,No,No,No
20247022,No,Yes,No
20241086,No,No,No
20241224,No,No,No
20241265,No,No,No
20241202,No,No,No
20246023,No,Yes,Yes
20241293,No,No,Yes
20241299,No,No,No
20244078,No,No,No
20243164,No,Yes,No
20242201,No,No,No
20241307,No,No,No
20242074,No,No,No
20241243,No,No,Yes
20247034,No,No,No
20241260,No,No,No
20243004,No,No,No
20246014,No,No,No
20242024,No,No,Yes
20243169,No,No,No
20243081,No,No,No
20242169,No,No,No
20241110,No,No,No
20241082,No,No,No
20241159,No,No,No
20246022,No,No,No
20241229,No,No,No
20242026,No,No,No
20242268,No,Yes,No
20242238,No,No,No
20242122,No,No,No
20241046,No,No,No
20243192,No,No,No
20241032,No,No,No
20241031,No,No,No
20243254,No,No,No
20243133,No,No,No
20241203,No,No,No
20243118,No,No,No
20243173,No,No,No
20243199,No,No,No
20244003,No,No,No
20241298,No,No,Yes
20242112,No,No,No
20243092,No,Yes,No
20243042,No,No,No
20244005,No,No,No
20243178,No,No,No
20244050,No,No,No
20241208,No,No,Yes
20242259,No,No,Yes
20242212,No,No,No
20243019,No,No,No
20241036,No,No,No
20242226,No,No,No
20247007,No,No,No
20243074,Yes,No,No
20241003,No,No,No
20241277,No,No,No
20241249,No,No,No
20242020,No,No,No
20242108,No,No,No
20243120,No,No,Yes
20242187,No,No,No
20243116,No,No,Yes
20242133,No,No,No
20241092,No,No,No
20242121,No,No,No
20243214,No,No,Yes
20241118,No,No,No
20243157,No,No,No
20241190,No,No,Yes
20241097,No,No,No
20242265,No,No,No
20241250,No,No,No
20242200,No,Yes,No
20242234,No,No,No
20242048,No,No,No
20242003,No,No,No
20243252,No,No,No
20243061,No,No,No
20242162,No,No,No
20244071,No,No,No
20241047,No,No,No
20241205,No,No,No
20241024,No,No,No
20242096,No,No,No
20242240,No,No,No
20243139,Yes,No,No
20243075,No,No,No
20244051,No,No,No
20241070,No,No,No
20244079,No,No,No
20243051,No,No,No
20242237,No,No,No
20243148,No,No,No
20242157,No,No,No
20244022,No,No,No
20241142,No,No,No
20241124,No,No,No
20241010,No,Yes,Yes
20241252,No,No,No
20243155,No,No,No
20243163,No,No,No
20243269,No,No,No
20243056,No,No,No
20243049,No,No,No
20243103,No,No,No
20242233,No,No,No
20243014,No,No,No
20241198,No,No,No
20242249,No,No,No
20243154,Yes,No,No
20241100,No,No,No
20241074,No,No,No
20243263,No,No,Yes
20242016,No,No,No
20244017,No,No,No
20244009,No,No,No
20242085,No,No,No
20244012,No,No,No
20243205,No,No,No
20241035,No,No,No
20241161,No,No,No
20241062,No,No,No
20243119,No,No,No
20241155,No,No,No
20243152,No,No,No
20243053,No,No,Yes
20241039,No,No,No
20242154,No,No,No
20243215,No,No,No
20243026,No,No,No
20241050,No,Yes,No
20243271,No,No,Yes
20241133,No,No,No
20248008,No,Yes,No
20244037,No,No,No
20242143,No,No,No
20241273,No,No,No
20242067,No,No,No
20242214,No,No,No
20243238,No,No,No
20242011,No,No,No
20241180,No,No,No
20241059,No,No,No
20241021,No,No,No
20242254,No,No,No
20243256,No,Yes,No
20241245,No,No,No
20243126,No,No,No
20244082,No,No,No
20241108,No,No,No
20242137,No,No,No
20241005,No,No,No
20241051,No,No,No
20243128,No,No,No
20242109,No,No,No
20241116,No,No,No
20243226,No,No,No
20242092,No,No,No
20242125,No,No,No
20244077,No,No,No
20242049,No,No,No
20243265,No,No,No
20243122,No,No,No
20243151,No,No,No
20241283,No,No,No
20242262,No,No,No
20242100,No,No,No
20242211,No,No,No
20241168,No,No,No
20241162,No,No,No
20241073,No,No,No
20243097,No,No,Yes
20242182,No,No,Yes
20243123,No,No,No
20242044,No,No,No
20241120,No,No,Yes
20242266,No,No,No
20241048,No,No,No
20243023,No,No,No
20243137,No,Yes,No
20241200,No,No,No
20242151,No,No,No
20242223,No,No,Yes
20241259,No,No,No
20241264,No,No,No
20243086,No,No,No
20242215,No,No,No
20246012,No,No,No
20244068,No,No,No
20241296,No,No,No
20241006,No,No,No
20241258,No,No,No
20241290,No,No,No
20241056,No,No,No
20242014,No,No,No
20241251,No,No,No
20243076,No,No,No
20243162,No,No,No
20242027,No,No,No
20243029,No,No,No
20242179,No,No,No
20244080,No,No,No
20242241,No,No,No
20244047,No,No,No
20241041,No,No,No
20241165,No,No,No
20242077,No,No,No
20242078,No,No,No
20242017,No,No,No
20243223,No,No,No
20241271,No,Yes,No
20242217,No,No,No
20242245,No,No,No
20241170,No,No,No
20242199,No,No,No
20241177,No,No,No
20246015,No,No,No
20242165,No,No,No
20241011,No,No,No
20243260,No,No,No
20241083,No,No,Yes
20246006,No,Yes,No
20244058,No,No,No
20243218,No,Yes,No
20241089,No,No,No
20243146,No,No,No
20241295,No,No,No
20243264,No,No,No
20241136,No,No,No
20241281,No,Yes,No
20241076,No,No,No
20244073,No,No,No
20242094,No,No,No
20241058,No,No,No
20241019,No,No,No
20241275,No,No,No
20243222,No,No,No
20241065,Yes,No,No
20243094,Yes,No,No
20243145,No,No,No
20241305,No,No,No
20242146,No,No,No
20241231,No,No,No
20241145,No,No,No
20241228,No,No,No
20243030,No,No,No
20243034,No,No,No
20242058,No,No,No
20241085,No,No,No
20243091,No,No,No
20243184,No,No,No
20242104,No,No,No
20248004,No,No,No
20242101,No,No,No
20243195,No,No,No
20243055,No,No,No
20241212,No,No,No
20241241,No,No,No
20243071,No,No,No
20241171,No,No,No
20243193,No,No,No
20244011,No,No,Yes
20242225,No,No,No
20242160,No,No,No
20241183,No,Yes,No
20241025,No,Yes,Yes
20241079,No,No,No
20246010,No,No,No
20242235,No,No,No
20242113,No,No,Yes
20242025,No,No,No
20241148,No,No,No
20241262,No,No,No
20241172,No,No,No
20242192,No,No,No
20241014,No,No,No
20242191,No,Yes,No
20243189,No,No,No
20244033,No,No,No
20241206,No,No,Yes
20243069,No,No,No
20243188,No,No,No
20241130,Yes,No,No
20241178,No,No,No
20248011,No,No,No
20241043,No,No,Yes
20244054,No,No,No
20243032,No,No,No
20244015,No,No,No
20243112,No,No,Yes
20243253,No,No,No
20246028,No,No,No
20242244,No,No,Yes
20244006,No,No,No
20241154,No,No,No
20241146,No,No,No
20242009,No,No,No
20241217,No,No,No
20242030,No,No,No
20243025,No,Yes,No
20242168,No,No,No
20246021,No,No,No
20241238,No,No,No
20241158,Yes,No,No
20243228,Yes,No,No
20242210,No,No,No
20242253,No,No,No
20242256,No,No,No
20241289,No,No,No
20243045,No,No,Yes
20242028,No,No,No
20243054,No,No,No
20241187,No,No,No
20246007,No,No,No
20241126,No,Yes,No
20244049,No,No,No
20242021,No,No,No
20242045,No,No,No
20243101,No,No,No
20242206,No,No,No
20242117,No,No,No
20241226,No,No,Yes
20242079,No,No,No
20241156,No,No,Yes
20243093,No,No,No
20243125,No,No,No
20243134,No,No,No
20242239,No,No,No
20241232,No,No,No
20241061,No,No,No
20244056,No,No,No
20242039,No,No,No
20241182,No,No,No
20241044,No,No,No
20242131,No,No,No
20244031,No,No,No
20242059,No,No,No
20242033,No,No,No
20241207,No,No,No
20243033,No,No,No
20242159,No,No,No
20243177,No,No,No
20243241,No,No,No
20243132,No,No,No
20243159,No,No,No
20242072,No,No,No
20243028,No,No,No
20243105,No,No,No
20242258,No,No,Yes
20241007,No,No,No
20241227,No,No,No
20243130,No,No,No
20242065,No,Yes,No
20243259,No,No,No
20244052,No,No,No
20242247,No,No,No
20241093,No,No,No
20241276,No,No,No
20242208,No,No,No
20241157,No,No,No
20244065,No,No,No
20242054,No,No,Yes
20242221,No,Yes,No
20242197,No,No,No
20241075,No,No,Yes
20241279,No,No,No
20243095,No,No,No
20243272,No,No,No
20243027,No,No,No
20248001,No,No,No
20242228,No,No,No
20242105,No,No,No
20241069,No,No,No
20244074,No,No,No
20244008,No,No,No
20243100,No,No,No
20241122,No,No,No
20244064,No,No,No
20243138,No,No,No
20241141,No,No,No
20241244,No,Yes,No
20242236,No,No,No
20242195,No,No,No
20242010,No,No,No
20242205,No,No,No
20244002,No,No,No
20242041,No,No,No
20242084,No,No,No
20243230,No,No,Yes
20241114,No,No,No
20243068,No,No,No
20243099,No,No,No
20242145,No,No,No
20243062,No,Yes,No
20244048,No,No,No
20241112,No,No,No
20243047,No,No,No
20242198,No,No,No
20243202,No,No,No
20244029,No,No,No
20241185,No,No,No
20242153,No,No,No
20243257,No,No,No
20243149,No,No,No
20242202,No,No,No
20243245,No,No,No
20244004,No,No,No
20241123,No,No,No
20242222,No,No,No
20242248,No,No,No
20241213,No,No,No
20242220,No,No,No
20242047,No,No,No
20243270,No,No,No
20241121,No,No,Yes
20243016,No,No,Yes
20241038,No,No,No
20243200,No,No,No
20243039,No,No,No
20242246,No,No,No
20242063,No,No,No
20243180,No,No,No
20241297,No,No,No
20243059,No,No,No
20242242,No,No,No
20242091,No,No,No
20243077,No,No,No
20244038,No,No,No
20243136,No,No,No
20243211,No,No,No
20241270,No,No,No
20241225,No,No,Yes
20241084,No,No,Yes
20243050,No,No,No
20243216,No,No,No
20242190,No,Yes,No
20243115,No,No,No
20242116,No,No,No
20241129,No,Yes,Yes
20244076,No,No,No
20243141,No,No,No
20241095,No,No,No
20242082,No,No,No
20241090,No,No,No
20241113,No,No,No
20243258,No,No,No
20244053,No,No,No
20241064,No,No,Yes
20243175,No,No,No
20243183,No,No,No
20241049,No,No,No
20241242,No,Yes,No
20241144,No,No,No
20243262,No,No,No
20241001,No,No,Yes
20242231,No,No,No
20241018,No,No,No
20241105,No,No,No
20241282,No,No,No
20243204,No,No,No
20243224,No,No,No
20243179,No,No,No
20241192,No,No,No
20241026,No,No,No
20241067,No,No,No
20242001,No,No,No
20243013,No,No,No
20241191,No,No,Yes
20242031,No,No,No
20241117,No,No,No
20246020,No,No,No
20241012,No,No,No
20242263,No,No,No
20242038,No,No,No
20246005,No,No,No
20244030,No,No,No
20242061,No,No,No
20244036,No,No,No
20242134,No,No,No
20243060,No,No,No
20242002,No,No,No
20243057,No,No,No
20243166,No,No,No
20242203,No,No,No
20243196,No,No,No
20241214,No,Yes,No
20242083,No,No,No
20241272,No,Yes,No
20241104,No,No,No
20243182,No,No,No
20242180,No,Yes,No
20242126,No,No,No
20241023,No,No,No
20243065,No,No,No
20243083,No,No,No
20244070,No,No,No
20243048,No,No,No
20241280,No,No,Yes
20242118,No,No,No
20241193,No,No,Yes
20242150,No,No,No
20241239,No,No,No
20242111,No,No,No
20243255,No,No,No
20241033,No,No,No
20241288,No,No,No
20243012,No,No,No
20241164,No,No,No
20243250,No,No,No
20242076,No,No,No
20241099,No,No,No
20243052,No,No,No
20241015,No,No,No
20243219,No,No,Yes
20241184,No,No,No
20241284,No,No,No
20242218,No,No,No
20241008,No,No,No
20244075,No,No,No
20242147,No,No,No
20248010,No,No,No
20234108,No,No,No
20234099,No,No,No
20233145,No,No,Yes
20236026,No,No,No
20233259,No,No,No
20236028,No,No,No
20231088,No,No,No
20231189,No,No,Yes
20232156,No,No,No
20233100,No,No,No
20231103,No,No,No
20232192,No,No,Yes
20233056,No,No,No
20231091,No,No,Yes
20232211,No,No,No
20231104,No,No,No
20231155,No,No,No
20232098,No,No,Yes
20232128,No,No,Yes
20233085,No,No,No
20234027,No,No,No
20232061,No,No,Yes
20234033,No,No,No
20232044,No,No,No
20232250,No,No,No
20233231,No,No,No
20231020,No,No,No
20231115,No,No,No
20231038,No,No,No
20231108,No,No,No
20231281,No,No,No
20233078,No,No,No
20231261,No,No,No
20233258,No,No,No
20236009,No,No,No
20232237,No,No,No
20232188,No,No,No
20233165,No,No,No
20231098,No,No,No
20234029,No,No,No
20231102,No,No,No
20231198,No,No,No
20231129,No,No,No
20231231,No,No,No
20233120,No,No,No
20232196,No,No,No
20234053,No,No,No
20232240,No,No,No
20231095,No,No,No
20232119,No,No,No
20232243,No,No,No
20234042,No,No,No
20232067,No,No,No
20234079,No,No,No
20231023,No,No,No
20233221,No,No,No
20233081,No,No,No
20231076,No,No,No
20232045,No,No,No
20236006,No,No,No
20234061,No,No,No
20232201,No,No,No
20236025,No,No,No
20233189,No,No,No
20233111,No,No,No
20232097,No,No,No
20233036,No,No,No
20231250,No,No,No
20233228,No,No,No
20234084,No,No,No
20232009,No,No,No
20231145,No,No,No
20231056,No,Yes,No
20232115,No,Yes,No
20233012,No,No,No
20232018,No,No,No
20233200,No,No,No
20233110,No,No,No
20233154,No,No,No
20231223,No,No,No
20234067,No,No,No
20231182,No,No,No
20238004,No,No,No
20231173,No,No,No
20233155,No,No,No
20233161,No,No,No
20234020,No,No,No
20231052,No,No,No
20231296,No,No,No
20231143,No,No,No
20234021,No,No,No
20231302,No,No,No
20231285,No,Yes,No
20231178,No,No,No
20234031,No,No,No
20237013,No,No,No
20233136,No,No,No
20233051,No,No,No
20231229,No,No,No
20233176,No,Yes,No
20234068,No,No,No
20231044,Yes,No,No
20231190,No,No,No
20236012,No,No,No
20233205,No,No,No
20233074,No,No,No
20233050,No,No,No
20231045,No,No,No
20231205,No,No,No
20234025,No,No,No
20231119,No,No,No
20231272,No,No,No
20233139,No,No,No
20233043,No,No,No
20231256,No,No,No
20234018,No,No,No
20231278,No,No,No
20233008,No,No,No
20234063,No,No,No
20233069,No,No,No
20234017,No,No,No
20231029,No,No,No
20231111,No,No,Yes
20234034,No,No,No
20231160,No,No,No
20233224,No,No,No
20231139,No,No,No
20231303,No,Yes,No
20231283,No,No,Yes
20231141,No,No,No
20231206,No,No,Yes
20233017,No,No,No
20231175,No,No,No
20233073,Yes,No,No
20233114,No,No,No
20231064,No,No,No
20233032,No,No,No
20233063,No,No,No
20231271,No,No,No
20234094,No,No,No
20231152,No,Yes,No
20231068,No,No,Yes
20233020,No,No,No
20233134,No,No,No
20233198,No,No,No
20231252,No,No,No
20231227,No,No,No
20231292,No,Yes,No
20232065,No,No,No
20232171,No,No,No
20232063,No,No,No
20232074,No,No,Yes
20231288,No,No,No
20232170,No,No,No
20231133,No,No,No
20231249,No,No,No
20231171,No,No,No
20233196,No,No,No
20233245,No,No,No
20231025,No,No,No
20231244,No,No,No
20232118,No,No,No
20231128,No,No,No
20232048,No,No,No
20236004,No,No,No
20232204,No,No,No
20231251,No,No,No
20231263,No,No,No
20231078,No,No,No
20233251,No,No,No
20234077,No,No,No
20236003,No,No,No
20233246,No,No,No
20232248,No,No,No
20237008,No,No,No
20232026,No,No,No
20233170,No,No,No
20233210,No,No,No
20233076,No,No,No
20233131,No,No,No
20233133,No,No,No
20232124,No,No,No
20232136,No,No,No
20233183,No,No,No
20232022,No,No,No
20231168,No,No,No
20232217,No,No,No
20236016,No,No,No
20231220,No,No,No
20233195,Yes,No,No
20231301,No,No,No
20233167,No,No,No
20233021,No,No,No
20231106,No,No,No
20231149,No,Yes,No
20231226,No,No,No
20236022,No,No,No
20232084,No,No,No
20232172,No,No,No
20237023,No,No,No
20232154,No,No,No
20234026,No,No,No
20232103,No,No,No
20232163,No,No,No
20231163,No,No,No
20231262,No,No,No
20231059,No,No,No
20236011,No,No,No
20234095,No,No,No
20232205,No,No,No
20234059,No,No,No
20234066,No,No,No
20232223,No,No,No
20231010,No,No,No
20231274,No,Yes,No
20231188,No,Yes,No
20231062,No,No,No
20233191,No,No,No
20234087,No,No,No
20232150,No,No,No
20233144,No,No,No
20233208,No,No,No
20233212,No,No,No
20234032,No,No,No
20232125,No,No,No
20231234,No,Yes,No
20233121,No,No,No
20232081,No,No,No
20233098,No,No,No
20233070,No,Yes,No
20233040,No,No,No
20236027,No,No,No
20232239,No,No,No
20231245,Yes,No,No
20231097,No,No,No
20232152,No,No,No
20231022,No,No,No
20231117,No,No,No
20231164,No,No,No
20231019,No,No,No
20233175,No,No,No
20233015,No,No,No
20231043,No,No,No
20234057,No,No,No
20234105,No,No,No
20233214,No,No,No
20234035,No,No,No
20231067,No,No,Yes
20231085,No,No,No
20231026,No,No,No
20233263,No,No,No
20237021,No,No,No
20231214,No,No,No
20232181,No,No,No
20231086,No,No,No
20232076,No,No,No
20233053,No,No,No
20233250,No,No,No
20233118,No,No,No
20231011,No,Yes,No
20232135,No,No,No
20233035,No,No,No
20237006,No,No,No
20233058,No,No,No
20233264,No,No,No
20232005,No,No,No
20234005,No,No,No
20231012,No,No,No
20231158,No,No,No
20231248,No,No,No
20234006,No,No,No
20233204,No,No,No
20233027,No,No,No
20232146,No,No,No
20233162,No,No,No
20232182,No,No,No
20232042,No,No,No
20231165,No,No,No
20233143,No,No,Yes
20231297,No,No,No
20232023,No,No,No
20233153,No,No,No
20232094,No,No,No
20231074,No,No,No
20233059,No,No,No
20233014,No,No,Yes
20232051,No,No,No
20231195,No,No,No
20231005,No,No,No
20232252,No,No,No
20234109,No,No,Yes
20231136,No,No,No
20234052,No,No,No
20234056,No,No,No
20232033,No,No,No
20232116,No,No,No
20232189,No,No,No
20233169,No,No,No
20232245,No,No,No
20231255,No,Yes,No
20231057,No,No,No
20233229,No,Yes,No
20231238,No,No,No
20234062,No,No,No
20234048,No,No,No
20232214,No,No,No
20231150,No,No,No
20233093,No,No,No
20231109,No,No,No
20233247,No,No,Yes
20232224,No,No,No
20232069,No,No,No
20232004,No,No,No
20233066,No,No,No
20231101,No,No,Yes
20232190,No,No,No
20233001,No,No,Yes
20232025,No,No,No
20231289,No,No,Yes
20233045,No,No,No
20231036,No,No,No
20233223,No,No,No
20231264,No,No,No
20233249,No,Yes,No
20232256,No,No,No
20231035,No,No,No
20231159,No,No,No
20232215,No,No,No
20232031,No,No,No
20231242,No,No,No
20231046,No,No,No
20231087,No,Yes,No
20236007,No,No,No
20231070,No,No,No
20231201,No,Yes,No
20233234,No,No,No
20233209,No,No,No
20233094,No,No,No
20231200,No,No,No
20232257,No,No,No
20231146,No,No,No
20231028,No,No,No
20233029,No,No,No
20233254,No,No,No
20233241,No,No,No
20231089,No,Yes,No
20233180,No,No,No
20233193,No,No,No
20232225,No,No,No
20231027,No,No,No
20231180,No,No,No
20231156,No,No,No
20231092,No,No,No
20231162,No,No,No
20236017,No,No,No
20233117,No,No,No
20233119,No,No,Yes
20233123,No,No,Yes
20234036,No,No,No
20232153,No,No,No
20233152,No,No,No
20232138,No,Yes,No
20234011,No,No,No
20233105,No,No,Yes
20232258,No,No,No
20233232,No,No,Yes
20231204,No,No,Yes
20234071,No,No,No
20231259,No,No,No
20232210,No,No,Yes
20233181,No,No,No
20232087,No,No,No
20237005,No,No,No
20232131,No,No,No
20233135,No,No,Yes
20231153,No,No,No
20236005,No,No,No
20232068,No,No,No
20232007,No,No,No
20233102,No,No,No
20233005,No,No,Yes
20231291,No,Yes,No
20234038,No,No,No
20232057,No,No,No
20233252,No,No,Yes
20233213,No,No,No
20232143,No,No,No
20234012,No,No,No
20231207,No,No,No
20233013,No,No,No
20231221,No,No,Yes
20233211,No,Yes,No
20231210,No,No,No
20233108,No,No,No
20231090,No,Yes,No
20232127,No,No,No
20232017,No,No,No
20233016,No,No,No
20233004,No,No,No
20231053,No,No,No
20234010,No,No,No
20233163,No,No,No
20233237,No,No,No
20233097,No,No,No
20231007,No,No,No
20231135,No,No,Yes
20233222,No,No,No
20234082,No,No,No
20233095,No,No,No
20231034,No,No,No
20232186,No,No,No
20237001,No,No,No
20231008,No,No,No
20233006,No,No,No
20231040,No,No,No
20231075,No,No,No
20233140,No,No,Yes
20233185,No,No,No
20232034,No,No,No
20232133,No,No,No
20232173,No,No,No
20234080,No,No,No
20234106,No,No,No
20233019,No,No,No
20232232,No,No,No
20233038,No,No,No
20232199,No,No,No
20232231,No,No,No
20231071,No,No,No
20231113,No,No,Yes
20232157,No,Yes,No
20234091,No,Yes,No
20233201,No,No,No
20231042,No,No,No
20231225,No,No,No
20231147,No,No,No
20234004,No,No,No
20238003,No,No,No
20231073,No,No,No
20234015,No,No,No
20231280,No,Yes,No
20231047,No,No,No
20231083,No,No,No
20232247,No,No,No
20232145,No,No,Yes
20233109,No,No,No
20234045,No,No,No
20232222,No,No,No
20231294,No,No,No
20231039,No,No,No
20231127,No,No,No
20231184,No,No,No
20232216,No,No,No
20233087,No,No,No
20233022,No,No,No
